run_id,model_type,method,repetition,seed,asset_index,asset,group,current_weight,optimized_weight,weight_change,integer_lots,asset_lower,asset_upper
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,109,Asset_109,Group_4,0.004,-1.8637385041150407e-17,-0.004000000000000018,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,110,Asset_110,Group_3,0.004,1.2657886614175508e-16,-0.0039999999999998734,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,111,Asset_111,Group_2,0.004,1.4291562173886525e-16,-0.003999999999999857,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,112,Asset_112,Group_0,0.004,3.508180089265251e-17,-0.003999999999999965,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,113,Asset_113,Group_7,0.004,-5.896959784220356e-17,-0.004000000000000059,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,114,Asset_114,Group_7,0.004,1.1813362328478289e-16,-0.003999999999999882,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,115,Asset_115,Group_2,0.004,-1.3196347147093696e-17,-0.004000000000000013,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,116,Asset_116,Group_3,0.004,5.09380546669555e-17,-0.003999999999999949,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,117,Asset_117,Group_6,0.004,2.4137093403916924e-17,-0.003999999999999976,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,118,Asset_118,Group_3,0.004,-8.176788958676301e-17,-0.004000000000000082,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,119,Asset_119,Group_5,0.004,4.6149933092133566e-17,-0.003999999999999954,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,120,Asset_120,Group_6,0.004,9.75687411292878e-17,-0.003999999999999903,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,121,Asset_121,Group_2,0.004,-5.941921889409871e-17,-0.00400000000000006,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,122,Asset_122,Group_5,0.004,-4.491606068231151e-17,-0.004000000000000045,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,123,Asset_123,Group_7,0.004,-3.208910615819469e-18,-0.0040000000000000036,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,124,Asset_124,Group_4,0.004,-8.066745106272257e-17,-0.004000000000000081,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,125,Asset_125,Group_0,0.004,4.2607407519802987e-17,-0.003999999999999958,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,126,Asset_126,Group_4,0.004,3.8429380907005057e-17,-0.003999999999999962,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,127,Asset_127,Group_4,0.004,4.384147910194771e-17,-0.003999999999999956,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,128,Asset_128,Group_0,0.004,0.004000000000000301,3.0097452308197603e-16,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,129,Asset_129,Group_1,0.004,-1.5758898078362144e-16,-0.004000000000000158,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,130,Asset_130,Group_2,0.004,-6.040625104695432e-17,-0.004000000000000061,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,131,Asset_131,Group_6,0.004,1.6835797612535072e-16,-0.003999999999999832,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,132,Asset_132,Group_6,0.004,-4.718396607292052e-17,-0.004000000000000047,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,133,Asset_133,Group_0,0.004,0.004000000000000475,4.753142324176451e-16,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,134,Asset_134,Group_2,0.004,1.51461119456427e-16,-0.003999999999999848,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,135,Asset_135,Group_5,0.004,4.7185912647343913e-17,-0.003999999999999953,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,136,Asset_136,Group_4,0.004,-4.978114302091995e-17,-0.0040000000000000495,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,137,Asset_137,Group_7,0.004,-3.606208015816847e-17,-0.0040000000000000365,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,138,Asset_138,Group_4,0.004,-6.65043530130039e-17,-0.004000000000000067,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,139,Asset_139,Group_2,0.004,1.0166093208598582e-16,-0.003999999999999899,,0.0,0.2
